seq_page_links;link_to_voting_record;law_id;record_id
http://parlament.ba/olaw/OLawDetails?lawId=57270;http://parlament.ba/oLaw/GetOwisDocument/?documentId=176748&data=74F19EE91DE02D331384F3AB2BF77C8D&lang=bs;57270;176748
http://parlament.ba/olaw/OLawDetails?lawId=57270;http://parlament.ba/oLaw/GetOwisDocument/?documentId=176749&data=ACB4937D0D734B939803460C912431BB&lang=bs;57270;176749
http://parlament.ba/olaw/OLawDetails?lawId=57270;http://parlament.ba/oLaw/GetOwisDocument/?documentId=190795&data=6A4EF4B8354C63D14B9377D5F749D223&lang=bs;57270;190795
http://parlament.ba/olaw/OLawDetails?lawId=57270;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191102&data=29D6D5FA35C4B4FCB239A613D03E4CEB&lang=bs;57270;191102
http://parlament.ba/olaw/OLawDetails?lawId=57169;http://parlament.ba/oLaw/GetOwisDocument/?documentId=175481&data=E38E268B4E2E037AD448849DCF8029B9&lang=bs;57169;175481
http://parlament.ba/olaw/OLawDetails?lawId=57169;http://parlament.ba/oLaw/GetOwisDocument/?documentId=180469&data=284559789520A2076C97A2E9D259E0D2&lang=bs;57169;180469
http://parlament.ba/olaw/OLawDetails?lawId=57010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167752&data=0128F431D9E9BD28C63870DDB57E17B6&lang=bs;57010;167752
http://parlament.ba/olaw/OLawDetails?lawId=57010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167753&data=38E1B77DBF19072CF69DDBB94D53661B&lang=bs;57010;167753
http://parlament.ba/olaw/OLawDetails?lawId=57010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168879&data=CC58889D5E9A88C637A6D83413F32322&lang=bs;57010;168879
http://parlament.ba/olaw/OLawDetails?lawId=57010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168881&data=B66DA26A4651534327C2DF8D21BFAA28&lang=bs;57010;168881
http://parlament.ba/olaw/OLawDetails?lawId=57010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=170705&data=A4B8ACC2ECF94C7D90AE91E5278409FF&lang=bs;57010;170705
http://parlament.ba/olaw/OLawDetails?lawId=57010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=172206&data=0C2D1A13AECA75ED9828B9DE379F9955&lang=bs;57010;172206
http://parlament.ba/olaw/OLawDetails?lawId=57009;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167758&data=DA83D15EC60A965E11327E3F7D911778&lang=bs;57009;167758
http://parlament.ba/olaw/OLawDetails?lawId=57009;http://parlament.ba/oLaw/GetOwisDocument/?documentId=167759&data=4FE4AD29C32AE800163BE37C5BC85C41&lang=bs;57009;167759
http://parlament.ba/olaw/OLawDetails?lawId=57009;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168876&data=EDCD0B23F5576FD2F9076DFCA04E89E7&lang=bs;57009;168876
http://parlament.ba/olaw/OLawDetails?lawId=57009;http://parlament.ba/oLaw/GetOwisDocument/?documentId=168877&data=A3FAFB407412C815714EB8BD0ED92A71&lang=bs;57009;168877
http://parlament.ba/olaw/OLawDetails?lawId=57009;http://parlament.ba/oLaw/GetOwisDocument/?documentId=170703&data=83EC217A45D43FFBA0DBEC0FE7998804&lang=bs;57009;170703
